epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.4345,1.8739,4.23667,1.70972,0.00579,0.5572,0.10392,0.04842,1.95013,4.70016,1.95636,0.000363072,0.000363072,0.000363072
2,83.6461,1.80941,3.59115,1.64655,0.10141,0.07987,0.06294,0.03189,2.16353,4.7949,2.21867,0.000718884,0.000718884,0.000718884
3,122.245,1.8983,3.37776,1.71946,0.30827,0.10083,0.0391,0.0158,2.22683,8.47624,2.31505,0.00106003,0.00106003,0.00106003
4,160.56,1.86192,3.12187,1.72423,0.14942,0.3099,0.1038,0.03829,2.1799,11.2926,2.2952,0.00104501,0.00104501,0.00104501
5,200.894,1.82019,2.94769,1.72081,0.25231,0.15974,0.15037,0.07933,2.14809,5.15997,2.30548,0.00102301,0.00102301,0.00102301
6,239.586,1.79206,2.80439,1.74641,0.24887,0.22289,0.22124,0.10981,2.0699,3.48476,2.15284,0.00100101,0.00100101,0.00100101
7,277.854,1.77606,2.5802,1.71702,0.23612,0.40368,0.26274,0.13876,1.91085,3.26005,2.01925,0.000979013,0.000979013,0.000979013
8,316.28,1.75734,2.48733,1.64111,0.27645,0.366,0.29257,0.13812,1.90511,2.65954,1.85734,0.000957015,0.000957015,0.000957015
9,354.469,1.70218,2.35913,1.65039,0.29628,0.36134,0.29317,0.13165,1.9527,2.90514,1.96013,0.000935018,0.000935018,0.000935018
10,397.134,1.66632,2.3166,1.62275,0.48098,0.2548,0.2403,0.11324,1.85336,3.62953,1.97667,0.00091302,0.00091302,0.00091302
11,437.32,1.61137,2.17847,1.58421,0.28303,0.37281,0.26862,0.12507,1.93472,2.7738,1.97683,0.000891022,0.000891022,0.000891022
12,475.278,1.60052,2.10822,1.58243,0.40608,0.46553,0.43341,0.21069,1.76925,2.51967,1.75779,0.000869024,0.000869024,0.000869024
13,513.806,1.59791,2.06608,1.55446,0.59101,0.38921,0.44443,0.23459,1.71549,2.31694,1.71951,0.000847026,0.000847026,0.000847026
14,552.188,1.57647,2.06857,1.55274,0.48908,0.53878,0.51447,0.28995,1.67587,2.11135,1.7012,0.000825029,0.000825029,0.000825029
15,595.019,1.5446,1.94245,1.52105,0.61064,0.47161,0.53662,0.27739,1.67658,1.99947,1.6535,0.000803031,0.000803031,0.000803031
16,633.846,1.54597,1.89671,1.515,0.38896,0.40109,0.40575,0.21565,1.86855,2.33144,1.86532,0.000781033,0.000781033,0.000781033
17,672.431,1.49904,1.88059,1.46299,0.4479,0.42598,0.41989,0.2287,1.69859,2.19553,1.69049,0.000759035,0.000759035,0.000759035
18,711.25,1.52187,1.86438,1.49928,0.63148,0.50473,0.5846,0.31601,1.70312,1.99301,1.66153,0.000737037,0.000737037,0.000737037
19,752.366,1.4725,1.79033,1.46745,0.60656,0.5173,0.60763,0.35282,1.55163,1.69091,1.56613,0.00071504,0.00071504,0.00071504
20,793.349,1.43951,1.73147,1.43511,0.67491,0.41565,0.46857,0.23863,1.74112,2.25145,1.70824,0.000693042,0.000693042,0.000693042
21,838.787,1.43036,1.70948,1.43787,0.58703,0.4824,0.57491,0.32155,1.59157,1.87149,1.5735,0.000671044,0.000671044,0.000671044
22,879.747,1.42593,1.70547,1.43855,0.4972,0.56777,0.55504,0.33052,1.55424,1.84614,1.56805,0.000649046,0.000649046,0.000649046
23,919.189,1.36885,1.63124,1.39621,0.49705,0.56857,0.51005,0.29234,1.58316,2.02287,1.60359,0.000627048,0.000627048,0.000627048
24,958.615,1.40769,1.62127,1.39541,0.63652,0.73785,0.7095,0.43033,1.48418,1.57677,1.49055,0.000605051,0.000605051,0.000605051
25,1003.33,1.38747,1.62022,1.4069,0.62697,0.58931,0.67269,0.39528,1.47164,1.67479,1.50318,0.000583053,0.000583053,0.000583053
26,1044.25,1.35914,1.50403,1.38475,0.61011,0.66473,0.66557,0.38346,1.55016,1.81075,1.63823,0.000561055,0.000561055,0.000561055
27,1083.44,1.34706,1.50718,1.38338,0.69029,0.6741,0.70675,0.40995,1.51729,1.5803,1.52959,0.000539057,0.000539057,0.000539057
28,1122.58,1.33613,1.49603,1.37477,0.80251,0.64225,0.76578,0.47364,1.47824,1.53723,1.49905,0.000517059,0.000517059,0.000517059
29,1161.35,1.33126,1.46543,1.36137,0.68071,0.6683,0.7577,0.45153,1.54592,1.45058,1.53327,0.000495062,0.000495062,0.000495062
30,1201.55,1.3369,1.4673,1.35165,0.73902,0.65921,0.73962,0.42638,1.59079,1.50832,1.53162,0.000473064,0.000473064,0.000473064
